,0,1,2,3,4,5,6,7
0,8228,10764,12413,4212,1022,1087,554,489
1,12168,6008,8195,2229,2418,945,708,624
2,16091,13596,8387,3574,1836,769,802,468
3,10724,16307,12666,7174,1347,663,597,547
4,7552,5830,12378,13108,1319,899,660,511
5,11769,11062,9740,3490,1266,908,644,465
6,21862,14456,5367,7985,1436,756,819,563
7,10009,18748,9274,3571,1056,945,677,553
8,14916,11618,11555,2136,2265,991,534,593
9,8608,7008,9687,3773,924,1059,877,583
