,0,1,2,3,4,5,6,7
0,14266,3474,2913,4015,1614,749,739,768
1,13932,7396,2348,2116,1152,759,622,750
2,5458,5552,4410,2090,1206,973,965,713
3,7438,4423,2388,2644,965,944,765,815
4,16393,6082,3212,3480,1612,907,665,787
5,7147,6829,5216,3646,1486,1172,997,866
6,5987,5369,3784,1958,1653,942,651,710
7,16092,6769,2693,3728,1771,924,686,795
8,15054,4112,6439,4593,1228,746,705,738
9,6654,3038,3358,4540,1591,806,1028,819
